stateabb,year,cinc
MEX,1997,0.014192429
MEX,1998,0.014492374
MEX,1999,0.01463274
MEX,2000,0.014036591
MEX,2001,0.0138064
MEX,2002,0.015783384
MEX,2003,0.015711069
MEX,2004,0.015534741
MEX,2005,0.015336172
MEX,2006,0.015129529
MEX,2007,0.015416575
MEX,2008,0.01529388
MEX,2009,0.01513409
MEX,2010,0.015091559
MEX,2011,0.015197395
MEX,2012,0.015086647
MEX,2013,0.014834207
MEX,2014,0.014866905
MEX,2015,0.014727841
MEX,2016,0.014677403
BLZ,1981,0.000014030057
BLZ,1982,0.000014207632
BLZ,1983,0.000014707504
BLZ,1984,0.000014574822
BLZ,1985,0.000014465546
BLZ,1986,0.000014281293
BLZ,1987,0.00001550842
BLZ,1988,0.000014967425
BLZ,1989,0.000015609978
BLZ,1990,0.000015511107
BLZ,1991,0.000015983125
BLZ,1992,0.000017630598
BLZ,1993,0.000016684553
BLZ,1994,0.000017582626
BLZ,1995,0.00001813022
BLZ,1996,0.000018688512
BLZ,1997,0.000019420791
BLZ,1998,0.000019701565
BLZ,1999,0.000019683368
BLZ,2000,0.000019982715
BLZ,2001,0.000020622694
BLZ,2002,0.000019450235
BLZ,2003,0.000019267432
BLZ,2004,0.00001941459
BLZ,2005,0.000019399893
BLZ,2006,0.000019794745
BLZ,2007,0.00001975301
BLZ,2008,0.00002075938
BLZ,2009,0.000019259989
BLZ,2010,0.000019121628
BLZ,2011,0.000019129393
BLZ,2012,0.000019195719
BLZ,2013,0.000019782048
BLZ,2014,0.000019959314
BLZ,2015,0.000020629126
BLZ,2016,0.000020812373
GUA,1868,0.00027150367
GUA,1869,0.00029471991
GUA,1870,0.00027989564
GUA,1871,0.00024198732
GUA,1872,0.00042155638
GUA,1873,0.00050923479
GUA,1874,0.00045458513
GUA,1875,0.00027947355
GUA,1876,0.00027348782
GUA,1877,0.00040242838
GUA,1878,0.00026183022
GUA,1879,0.00048853253
GUA,1880,0.00028029372
GUA,1881,0.00042023553
GUA,1882,0.00040779627
GUA,1883,0.00024027366
GUA,1884,0.00024056189
GUA,1885,0.00028551972
GUA,1886,0.000285135
GUA,1887,0.00028198076
GUA,1888,0.00041283379
GUA,1889,0.00070272019
GUA,1890,0.00036959056
GUA,1891,0.00027731596
GUA,1892,0.00046762353
GUA,1893,0.00044076226
GUA,1894,0.00043246537
GUA,1895,0.00055002409
GUA,1896,0.00061948522
GUA,1897,0.00052781554
GUA,1898,0.00051401142
GUA,1899,0.00056346739
GUA,1900,0.00051514438
GUA,1901,0.00056742749
GUA,1902,0.00075920683
GUA,1903,0.00041141425
GUA,1904,0.00052487175
GUA,1905,0.00044610252
GUA,1906,0.00051779189
GUA,1907,0.00054721453
GUA,1908,0.00053890131
GUA,1909,0.0005387683
GUA,1910,0.0005302502
GUA,1911,0.00050736446
GUA,1912,0.00038194782
GUA,1913,0.00036671842
GUA,1914,0.00033031695
GUA,1915,0.00020410294
GUA,1916,0.00020509999
GUA,1917,0.00024157601
GUA,1918,0.00024463638
GUA,1919,0.00054654211
GUA,1920,0.00054364413
GUA,1921,0.00054484059
GUA,1922,0.00048240414
GUA,1923,0.00051579584
GUA,1924,0.00059645565
GUA,1925,0.00060332048
GUA,1926,0.00064019731
GUA,1927,0.00060114358
GUA,1928,0.00058693817
GUA,1929,0.00058513397
GUA,1930,0.00058385375
GUA,1931,0.00057825015
GUA,1932,0.000599386
GUA,1933,0.00055060594
GUA,1934,0.00056077499
GUA,1935,0.00050333608
GUA,1936,0.0005111678
GUA,1937,0.00049684278
GUA,1938,0.00050116878
GUA,1939,0.00046491003
GUA,1940,0.00057030615
GUA,1941,0.0006026401
GUA,1942,0.0005004179
GUA,1943,0.00063759118
GUA,1944,0.00049699587
